Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Protection from Evil and Good,Abjuration,1 Action,,,"V, S, M",,10 Minutes,,,,Buff (...),,"Until the spell ends, one willing creature you touch is protected against creatures that are Aberrations, Celestials, Elementals, Fey, Fiends, or Undead. The protection grants several benefits. Creatures of those types have Disadvantage on attack rolls against the target. The target also can’t be possessed by or gain the Charmed or Frightened conditions from them. If the target is already possessed, Charmed, or Frightened by such a creature, the target has Advantage on any new saving throw against the relevant effect.",https://www.dndbeyond.com/spells/2618912-protection-from-evil-and-good,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Sanctuary,Abjuration,1 Bonus Action,30 ft.,,"V, S, M",,1 Minute,,,WIS Save,Buff (...),,"You ward a creature within range. Until the spell ends, any creature who targets the warded creature with an attack roll or a damaging spell must succeed on a Wisdom saving throw or either choose a new target or lose the attack or spell. This spell doesn’t protect the warded creature from areas of effect.

The spell ends if the warded creature makes an attack roll, casts a spell, or deals damage.",https://www.dndbeyond.com/spells/2619003-sanctuary,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Shield of Faith,Abjuration,1 Bonus Action,60 ft.,,"V, S, M",,10 Minutes,,,,Buff (...),,"A shimmering field surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.",https://www.dndbeyond.com/spells/2619020-shield-of-faith,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Tasha's Hideous Laughter,Enchantment,1 Action,30 ft.,,"V, S, M",,1 Minute,,,WIS Save,Prone (...),,"One creature of your choice that you can see within range makes a Wisdom saving throw. On a failed save, it has the Prone and Incapacitated conditions for the duration. During that time, it laughs uncontrollably if it’s capable of laughter, and it can’t end the Prone condition on itself.

At the end of each of its turns and each time it takes damage, it makes another Wisdom saving throw. The target has Advantage on the save if the save is triggered by damage. On a successful save, the spell ends.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619132-tashas-hideous-laughter,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Aid,Abjuration,1 Action,30 ft.,,"V, S, M",,8 Hours,,,,Buff,,"Choose up to three creatures within range. Each target’s Hit Point maximum and current Hit Points increase by 5 for the duration.

Using a Higher-Level Spell Slot. Each target’s Hit Points increase by 5 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618845-aid,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
2nd,Air Bubble,Conjuration,1 Action,60 ft.,,S,,24 Hours,,,,Buff,,,https://www.dndbeyond.com/spells/1585025-air-bubble,Summoning — Extraplanar,Hard Ban,Secondary,Hard Ban,Hard Ban,Hard Ban
2nd,Arcane Vigor,Abjuration,1 Bonus Action,,,"V, S",,Instantaneous,,,,,,"You tap into your life force to heal yourself. Roll one or two of your unexpended Hit Point Dice, and regain a number of Hit Points equal to the roll’s total plus your spellcasting ability modifier. Those dice are then expended.

Using a Higher-Level Spell Slot. The number of unexpended Hit Dice you can roll increases by one for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618831-arcane-vigor,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Augury,Divination,1 Minute,,,"V, S, M",,Instantaneous,,,,Foreknowledge,,"You receive an omen from an otherworldly entity about the results of a course of action that you plan to take within the next 30 minutes. The DM chooses the omen from the Omens table.

The spell doesn’t account for circumstances, such as other spells, that might change the results.

If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",https://www.dndbeyond.com/spells/2618882-augury,Divination — Omens & Revelation,Hard Ban,Exclusive,Hard Ban,Hard Ban,Hard Ban
2nd,Blindness/Deafness,Transmutation,1 Action,120 ft.,,V,,1 Minute,,,CON Save,Blinded (...),,"One creature that you can see within range must succeed on a Constitution saving throw, or it has the Blinded or Deafened condition (your choice) for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618938-blindness-deafness,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Borrowed Knowledge,Divination,1 Action,,,"V, S, M",,1 Hour,,,,Utility,,,https://www.dndbeyond.com/spells/1239802-borrowed-knowledge,Divination — Omens & Revelation,Hard Ban,Exclusive,Hard Ban,Hard Ban,Hard Ban
2nd,Dust Devil,Conjuration,1 Action,60 ft.,(5 ft. *),"V, S, M",,1 Minute,,,STR Save,Bludgeoning,,"Choose an unoccupied 5-foot cube of air that you can see within range. An elemental force that resembles a dust devil appears in the cube and lasts for the spell’s duration.

Any creature that ends its turn within 5 feet of the dust devil must make a Strength saving throw. On a failed save, the creature takes 1d8 bludgeoning damage and is pushed 10 feet away. On a successful save, the creature takes half as much damage and isn’t pushed.

As a bonus action, you can move the dust devil up to 30 feet in any direction. If the dust devil moves over sand, dust, loose dirt, or small gravel, it sucks up the material and forms a 10-foot-radius cloud of debris around itself that lasts until the start of your next turn. The cloud heavily obscures its area.

At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",https://www.dndbeyond.com/spells/2376-dust-devil,Summoning — Extraplanar,Hard Ban,Secondary,Hard Ban,Hard Ban,Hard Ban
2nd,Find Steed,Conjuration,1 Action,30 ft.,,"V, S",,Instantaneous,,,,Summoning,,"You summon an otherworldly being that appears as a loyal steed in an unoccupied space of your choice within range. This creature uses the Otherworldly Steed stat block. If you already have a steed from this spell, the steed is replaced by the new one.

The steed resembles a Large, rideable animal of your choice, such as a horse, a camel, a dire wolf, or an elk. Whenever you cast the spell, choose the steed’s creature type—Celestial, Fey, or Fiend—which determines certain traits in the stat block.

Combat. The steed is an ally to you and your allies. In combat, it shares your Initiative count, and it functions as a controlled mount while you ride it (as defined in the rules on mounted combat). If you have the Incapacitated condition, the steed takes its turn immediately after yours and acts independently, focusing on protecting you.

Disappearance of the Steed. The steed disappears if it drops to 0 Hit Points or if you die. When it disappears, it leaves behind anything it was wearing or carrying. If you cast this spell again, you decide whether you summon the steed that disappeared or a different one.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

Large Celestial, Fey, or Fiend (Your Choice), Neutral

AC 10 + 1 per spell level

HP 5 + 10 per spell level (the steed has a number of Hit Dice [d10s] equal to the spell’s level)

Speed 60 ft., Fly 60 ft. (requires level 4+ spell)

Senses Passive Perception 11

Languages Telepathy 1 mile (works only with you)

CR None (XP 0; PB equals your Proficiency Bonus)

Traits

Life Bond. When you regain Hit Points from a level 1+ spell, the steed regains the same number of Hit Points if you’re within 5 feet of it.

Actions

Otherworldly Slam. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 plus the spell’s level of Radiant (Celestial), Psychic (Fey), or Necrotic (Fiend) damage.

Bonus Actions

Fell Glare (Fiend Only; Recharges after a Long Rest). Wisdom Saving Throw: DC equals your spell save DC, one creature within 60 feet the steed can see. Failure: The target has the Frightened condition until the end of your next turn.

Fey Step (Fey Only; Recharges after a Long Rest). The steed teleports, along with its rider, to an unoccupied space of your choice up to 60 feet away from itself.

Healing Touch (Celestial Only; Recharges after a Long Rest). One creature within 5 feet of the steed regains a number of Hit Points equal to 2d8 plus the spell’s level.",https://www.dndbeyond.com/spells/2618879-find-steed,Summoning — Extraplanar,Hard Ban,Secondary,Hard Ban,Hard Ban,Hard Ban
2nd,Gentle Repose,Necromancy,1 Action,,,"V, S, M",,10 Days,,,,Warding,,"You touch a corpse or other remains. For the duration, the target is protected from decay and can’t become Undead.

The spell also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this spell don’t count against the time limit of spells such as Raise Dead .",https://www.dndbeyond.com/spells/2618942-gentle-repose,Resurrection,Hard Ban,Exclusive,Hard Ban,Hard Ban,Hard Ban
2nd,Healing Spirit,Conjuration,1 Bonus Action,60 ft.,(5 ft. ),"V, S",,1 Minute,,,,Healing (...),,"You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).

Until the spell ends, whenever you or a creature you can see moves into the spirit’s space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can’t heal constructs or undead. The spirit can heal a number of times equal to 1 + your spellcasting ability modifier (minimum of twice). After healing that number of times, the spirit disappears.

As a bonus action on your turn, you can move the spirit up to 30 feet to a space you can see.

At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d6 for each slot level above 2nd.",https://www.dndbeyond.com/spells/14873-healing-spirit,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Hold Person,Enchantment,1 Action,60 ft.,,"V, S, M",,1 Minute,,,WIS Save,Paralyzed,,"Choose a Humanoid that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.

Using a Higher-Level Spell Slot. You can target one additional Humanoid for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619153-hold-person,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Jim's Glowing Coin,Enchantment,1 Action,60 ft.,,"S, M, R",,1 Minute,,,WIS Save,,,"Of the many tactics employed by master magician and renowned adventurer Jim Darkmagic, the old glowing coin trick is a time-honored classic. When you cast the spell, you hurl the coin that is the spell’s material component to any spot within range. The coin lights up as if under the effect of a light spell. Each creature of your choice that you can see within 30 feet of the coin must succeed on a Wisdom saving throw or be distracted for the duration. While distracted, a creature has disadvantage on Wisdom ( Perception ) checks and initiative rolls.",https://www.dndbeyond.com/spells/188126-jims-glowing-coin,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Lesser Restoration,Abjuration,1 Bonus Action,,,"V, S",,Instantaneous,,,,Healing,,"You touch a creature and end one condition on it: Blinded , Deafened , Paralyzed , or Poisoned .",https://www.dndbeyond.com/spells/2619016-lesser-restoration,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Pass without Trace,Abjuration,1 Action,,(30 ft. ),"V, S, M",,1 Hour,,,,Buff (...),,"You radiate a concealing aura in a 30-foot Emanation for the duration. While in the aura, you and each creature you choose have a +10 bonus to Dexterity ( Stealth ) checks and leave no tracks.",https://www.dndbeyond.com/spells/2618849-pass-without-trace,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Prayer of Healing,Abjuration,10 Minutes,30 ft.,,V,,Instantaneous,,,,Healing,,"Up to five creatures of your choice who remain within range for the spell’s entire casting gain the benefits of a Short Rest and also regain 2d8 Hit Points. A creature can’t be affected by this spell again until that creature finishes a Long Rest.

Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618892-prayer-of-healing,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
2nd,Protection from Poison,Abjuration,1 Action,,,"V, S",,1 Hour,,,,Buff (...),,"You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage.",https://www.dndbeyond.com/spells/2618915-protection-from-poison,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Pyrotechnics,Transmutation,1 Action,60 ft.,(5 ft. *),"V, S",,Instantaneous,,,CON Save,Blinded,,"Choose an area of nonmagical flame that you can see and that fits within a 5-foot cube within range. You can extinguish the fire in that area, and you create either fireworks or smoke when you do so.

Fireworks . The target explodes with a dazzling display of colors. Each creature within 10 feet of the target must succeed on a Constitution saving throw or become blinded until the end of your next turn.

Smoke. Thick black smoke spreads out from the target in a 20-foot radius, moving around corners. The area of the smoke is heavily obscured. The smoke persists for 1 minute or until a strong wind disperses it.",https://www.dndbeyond.com/spells/2396-pyrotechnics,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Ray of Enfeeblement,Necromancy,1 Action,60 ft.,,"V, S",,1 Minute,,,CON Save,Debuff,,"A beam of enervating energy shoots from you toward a creature within range. The target must make a Constitution saving throw. On a successful save, the target has Disadvantage on the next attack roll it makes until the start of your next turn.

On a failed save, the target has Disadvantage on Strength-based D20 Tests for the duration. During that time, it also subtracts 1d8 from all its damage rolls. The target repeats the save at the end of each of its turns, ending the spell on a success.",https://www.dndbeyond.com/spells/2618926-ray-of-enfeeblement,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Spray of Cards,Conjuration,1 Action,,(15 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Force,,"You spray a 15-foot cone of spectral cards. Each creature in that area must make a Dexterity saving throw. On a failed save, a creature takes 2d10 force damage and has the blinded condition until the end of its next turn. On a successful save, a creature takes half as much damage only.

At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d10 for each slot level above 2nd.",https://www.dndbeyond.com/spells/2158658-spray-of-cards,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
2nd,Warding Bond,Abjuration,1 Action,,,"V, S, M",,1 Hour,,,,Buff (...),,"You touch another creature that is willing and create a mystic connection between you and the target until the spell ends. While the target is within 60 feet of you, it gains a +1 bonus to AC and saving throws, and it has Resistance to all damage. Also, each time it takes damage, you take the same amount of damage.

The spell ends if you drop to 0 Hit Points or if you and the target become separated by more than 60 feet. It also ends if the spell is cast again on either of the connected creatures.",https://www.dndbeyond.com/spells/2619203-warding-bond,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
3rd,Antagonize,Enchantment,1 Action,30 ft.,,"V, S, M",,Instantaneous,,,WIS Save,Psychic,,"You whisper magical words that antagonize one creature of your choice within range. The target must make a Wisdom saving throw. On a failed save, the target takes 4d4 psychic damage and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. If the target can’t make this attack (for example, because there is no one within its reach or because its reaction is unavailable), the target instead has disadvantage on the next attack roll it makes before the start of your next turn. On a successful save, the target takes half as much damage only.

At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d4 for each slot level above 3rd.",https://www.dndbeyond.com/spells/2158656-antagonize,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
3rd,Aura of Vitality,Abjuration,1 Action,,(30 ft. ),V,,1 Minute,,,,Healing,,"An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",https://www.dndbeyond.com/spells/2618891-aura-of-vitality,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
3rd,Beacon of Hope,Abjuration,1 Action,30 ft.,,"V, S",,1 Minute,,,,Buff,,"Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws and regains the maximum number of Hit Points possible from any healing.",https://www.dndbeyond.com/spells/2618911-beacon-of-hope,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
3rd,Bestow Curse,Necromancy,1 Action,,,"V, S",,1 Minute,,,WIS Save,Debuff,,"You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice:

Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability.

The target has Disadvantage on attack rolls against you.

In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn.

If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage.

Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn’t require Concentration, and the duration becomes 8 hours (level 5–6 slot) or 24 hours (level 7–8 slot). If you use a level 9 spell slot, the spell lasts until dispelled.",https://www.dndbeyond.com/spells/2618923-bestow-curse,Curses & Hexes,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
3rd,Catnap,Enchantment,1 Action,30 ft.,,"S, M",,10 Minutes,,,,Buff (...),,"You make a calming gesture, and up to three willing creatures of your choice that you can see within range fall unconscious for the spell’s duration. The spell ends on a target early if it takes damage or someone uses an action to shake or slap it awake. If a target remains unconscious for the full duration, that target gains the benefit of a short rest, and it can’t be affected by this spell again until it finishes a long rest.

At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional willing creature for each slot level above 3rd.",https://www.dndbeyond.com/spells/14754-catnap,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
3rd,Crusader's Mantle,Evocation,1 Action,,(30 ft. ),V,,1 Minute,,,,Radiant,,"You radiate a magical aura in a 30-foot Emanation . While in the aura, you and your allies each deal an extra 1d4 Radiant damage when hitting with a weapon or an Unarmed Strike.",https://www.dndbeyond.com/spells/2619057-crusaders-mantle,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
3rd,Feign Death,Necromancy,1 Action,,,"V, S, M",,1 Hour,,,,Blinded (...),,"You touch a willing creature and put it into a cataleptic state that is indistinguishable from death.

For the duration, the target appears dead to outward inspection and to spells used to determine the target’s status. The target has the Blinded and Incapacitated conditions, and its Speed is 0.

The target also has Resistance to all damage except Psychic damage, and it has Immunity to the Poisoned condition.",https://www.dndbeyond.com/spells/2618873-feign-death,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
3rd,Gaseous Form,Transmutation,1 Action,,,"V, S, M",,1 Hour,,,,Buff (...),,"A willing creature you touch shape-shifts , along with everything it’s wearing and carrying, into a misty cloud for the duration. The spell ends on the target if it drops to 0 Hit Points or if it takes a Magic action to end the spell on itself.

While in this form, the target’s only method of movement is a Fly Speed of 10 feet, and it can hover. The target can enter and occupy the space of another creature. The target has Resistance to Bludgeoning, Piercing, and Slashing damage; it has Immunity to the Prone condition; and it has Advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through narrow openings, but it treats liquids as though they were solid surfaces.

The target can’t talk or manipulate objects, and any objects it was carrying or holding can’t be dropped, used, or otherwise interacted with. Finally, the target can’t attack or cast spells.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3.",https://www.dndbeyond.com/spells/2618927-gaseous-form,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
