Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Feather Fall,Transmutation,1 Reaction *,60 ft.,,"V, M",,1 Minute,,,,Exploration (...),,"Choose up to five falling creatures within range. A falling creature’s rate of descent slows to 60 feet per round until the spell ends. If a creature lands before the spell ends, the creature takes no damage from the fall, and the spell ends for that creature.",https://www.dndbeyond.com/spells/2618874-feather-fall,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Identify,Divination,1 Minute,,,"V, S, M",,Instantaneous,,,,Detection,,"You touch an object throughout the spell’s casting. If the object is a magic item or some other magical object, you learn its properties and how to use them, whether it requires Attunement , and how many charges it has, if any. You learn whether any ongoing spells are affecting the item and what they are. If the item was created by a spell, you learn that spell’s name.

If you instead touch a creature throughout the casting, you learn which ongoing spells, if any, are currently affecting it.",https://www.dndbeyond.com/spells/2619180-identify,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Illusory Script,Illusion,1 Minute,,,"S, M",,10 Days,,,,Communication,,"You write on parchment, paper, or another suitable material and imbue it with an illusion that lasts for the duration. To you and any creatures you designate when you cast the spell, the writing appears normal, seems to be written in your hand, and conveys whatever meaning you intended when you wrote the text. To all others, the writing appears as if it were written in an unknown or magical script that is unintelligible. Alternatively, the illusion can alter the meaning, handwriting, and language of the text, though the language must be one you know.

If the spell is dispelled, the original script and the illusion both disappear.

A creature that has Truesight can read the hidden message.",https://www.dndbeyond.com/spells/2619173-illusory-script,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
1st,Jim's Magic Missile,Evocation,1 Action,120 ft.,,"V, S, M",,Instantaneous,,,Ranged,Force,,"Any apprentice wizard can cast a boring old magic missile . Sure, it always strikes its target. Yawn. Do away with the drudgery of your grandfather’s magic with this improved version of the spell, as used by Jim Darkmagic!

You create three twisting, whistling, hypoallergenic, gluten-free darts of magical force. Each dart targets a creature of your choice that you can see within range. Make a ranged spell attack for each missile. On a hit, a missile deals 2d4 force damage to its target.

If the attack roll scores a critical hit, the target of that missile takes 5d4 force damage instead of you rolling damage twice for a critical hit. If the attack roll for any missile is a 1, all missiles miss their targets and blow up in your face, dealing 1 force damage per missile to you.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the spell creates one more dart, and the royalty component increases by 1 gp, for each slot level above 1st.",https://www.dndbeyond.com/spells/188129-jims-magic-missile,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Jump,Transmutation,1 Bonus Action,,,"V, S, M",,1 Minute,,,,Movement,,"You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618991-jump,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Longstrider,Transmutation,1 Action,,,"V, S, M",,1 Hour,,,,Buff (...),,"You touch a creature. The target’s Speed increases by 10 feet until the spell ends.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619004-longstrider,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Magic Missile,Evocation,1 Action,120 ft.,,"V, S",,Instantaneous,,,,Force,,"You create three glowing darts of magical force. Each dart strikes a creature of your choice that you can see within range. A dart deals 1d4 + 1 Force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.

Using a Higher-Level Spell Slot. The spell creates one more dart for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619022-magic-missile,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Shield,Abjuration,1 Reaction *,,,"V, S",,1 Round,,,,Warding,,"An imperceptible barrier of magical force protects you. Until the start of your next turn, you have a +5 bonus to AC, including against the triggering attack, and you take no damage from Magic Missile .",https://www.dndbeyond.com/spells/2619019-shield,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Silent Image,Illusion,1 Action,60 ft.,(15 ft. *),"V, S, M",,10 Minutes,,,,Control,,"You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 15-foot Cube . The image appears at a spot within range and lasts for the duration. The image is purely visual; it isn’t accompanied by sound, smell, or other sensory effects.

As a Magic action, you can cause the image to move to any spot within range. As the image changes location, you can alter its appearance so that its movements appear natural for the image. For example, if you create an image of a creature and move it, you can alter the image so that it appears to be walking.

Physical interaction with the image reveals it to be an illusion, since things can pass through it. A creature that takes a Study action to examine the image can determine that it is an illusion with a successful Intelligence ( Investigation ) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image.",https://www.dndbeyond.com/spells/2619062-silent-image,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
1st,Snare,Abjuration,1 Minute,,,"S, M",,8 Hours,,,DEX Save,Restrained,,"As you cast this spell, you use the rope to create a circle with a 5-foot radius on the ground or the floor. When you finish casting, the rope disappears and the circle becomes a magic trap.

This trap is nearly invisible, requiring a successful Intelligence ( Investigation ) check against your spell save DC to be discerned.

The trap triggers when a Small, Medium, or Large creature moves onto the ground or the floor in the spell’s radius. That creature must succeed on a Dexterity saving throw or be magically hoisted into the air, leaving it hanging upside down 3 feet above the ground or the floor. The creature is restrained there until the spell ends.

A restrained creature can make a Dexterity saving throw at the end of each of its turns, ending the effect on itself on a success. Alternatively, the creature or someone else who can reach it can use an action to make an Intelligence ( Arcana ) check against your spell save DC. On a success, the restrained effect ends.

After the trap is triggered, the spell ends when no creature is restrained by it.",https://www.dndbeyond.com/spells/14600-snare,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
1st,Tenser's Floating Disk,Conjuration,1 Action,30 ft.,,"V, S, M",,1 Hour,,,,Movement (...),,"This spell creates a circular, horizontal plane of force, 3 feet in diameter and 1 inch thick, that floats 3 feet above the ground in an unoccupied space of your choice that you can see within range. The disk remains for the duration and can hold up to 500 pounds. If more weight is placed on it, the spell ends, and everything on the disk falls to the ground.

The disk is immobile while you are within 20 feet of it. If you move more than 20 feet away from it, the disk follows you so that it remains within 20 feet of you. It can move across uneven terrain, up or down stairs, slopes and the like, but it can’t cross an elevation change of 10 feet or more. For example, the disk can’t move across a 10-foot-deep pit, nor could it leave such a pit if it was created at the bottom.

If you move more than 100 feet from the disk (typically because it can’t move around an obstacle to follow you), the spell ends.",https://www.dndbeyond.com/spells/2619169-tensers-floating-disk,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Unseen Servant,Conjuration,1 Action,60 ft.,,"V, S, M",,1 Hour,,,,Control,,"This spell creates an Invisible , mindless, shapeless, Medium force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 10, 1 Hit Point, and a Strength of 2, and it can’t attack. If it drops to 0 Hit Points, the spell ends.

Once on each of your turns as a Bonus Action, you can mentally command the servant to move up to 15 feet and interact with an object. The servant can perform simple tasks that a human could do, such as fetching things, cleaning, mending, folding clothes, lighting fires, serving food, and pouring drinks. Once you give the command, the servant performs the task to the best of its ability until it completes the task, then waits for your next command.

If you command the servant to perform a task that would move it more than 60 feet away from you, the spell ends.",https://www.dndbeyond.com/spells/2619209-unseen-servant,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Zephyr Strike,Transmutation,1 Bonus Action,,,V,,1 Minute,,,,Force,,"You move like the wind. Until the spell ends, your movement doesn’t provoke opportunity attacks.

Once before the spell ends, you can give yourself advantage on one weapon attack roll on your turn. That attack deals an extra 1d8 force damage on a hit. Whether you hit or miss, your walking speed increases by 30 feet until the end of that turn.",https://www.dndbeyond.com/spells/14622-zephyr-strike,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Alter Self,Transmutation,1 Action,,,"V, S",,1 Hour,,,,Shapechanging,,"You alter your physical form. Choose one of the following options. Its effects last for the duration, during which you can take a Magic action to replace the option you chose with a different one.

Aquatic Adaptation. You sprout gills and grow webs between your fingers. You can breathe underwater and gain a Swim Speed equal to your Speed.

Change Appearance. You alter your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and other distinguishing characteristics. You can make yourself appear as a member of another species, though none of your statistics change. You can’t appear as a creature of a different size, and your basic shape stays the same; if you’re bipedal, you can’t use this spell to become quadrupedal, for instance. For the duration, you can take a Magic action to change your appearance in this way again.

Natural Weapons. You grow claws (Slashing), fangs (Piercing), horns (Piercing), or hooves (Bludgeoning). When you use your Unarmed Strike to deal damage with that new growth, it deals 1d6 damage of the type in parentheses instead of dealing the normal damage for your Unarmed Strike, and you use your spellcasting ability modifier for the attack and damage rolls rather than using Strength.",https://www.dndbeyond.com/spells/2618846-alter-self,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Animal Messenger,Enchantment,1 Action,30 ft.,,"V, S, M",,24 Hours,,,CHA Save,Communication (...),,"A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw, or it attempts to deliver a message for you (if the target’s Challenge Rating isn’t 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as “a person dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Beast can fly.

When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn’t reach its destination before the spell ends, the message is lost, and the Beast returns to where you cast the spell.

Using a Higher-Level Spell Slot. The spell’s duration increases by 48 hours for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618850-animal-messenger,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Beast Sense,Divination,1 Action,,,S,,1 Hour,,,,Detection,,"You touch a willing Beast. For the duration, you can perceive through the Beast’s senses as well as your own. When perceiving through the Beast’s senses, you benefit from any special senses it has.",https://www.dndbeyond.com/spells/2618914-beast-sense,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Blur,Illusion,1 Action,,,V,,1 Minute,,,,Warding,,"Your body becomes blurred. For the duration, any creature has Disadvantage on attack rolls against you. An attacker is immune to this effect if it perceives you with Blindsight or Truesight .",https://www.dndbeyond.com/spells/2618945-blur,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Cloud of Daggers,Conjuration,1 Action,60 ft.,(5 ft. ),"V, S, M",,1 Minute,,,,Slashing,,"You conjure spinning daggers in a 5-foot Cube centered on a point within range. Each creature in that area takes 4d4 Slashing damage. A creature also takes this damage if it enters the Cube or ends its turn there or if the Cube moves into its space. A creature takes this damage only once per turn.

On your later turns, you can take a Magic action to teleport the Cube up to 30 feet.

Using a Higher-Level Spell Slot. The damage increases by 2d4 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618974-cloud-of-daggers,Teleportation & Spatial Bending,Primary,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Continual Flame,Evocation,1 Action,,,"V, S, M",,Until Dispelled,,,,Creation,,"A flame springs from an object that you touch. The effect casts Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. It looks like a regular flame, but it creates no heat and consumes no fuel. The flame can be covered or hidden but not smothered or quenched.",https://www.dndbeyond.com/spells/2619065-continual-flame,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Darkvision,Transmutation,1 Action,,,"V, S, M",,8 Hours,,,,Buff,,"For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",https://www.dndbeyond.com/spells/2619082-darkvision,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Detect Thoughts,Divination,1 Action,,,"V, S, M",,1 Minute,,,WIS Save,Detection (...),,"You activate one of the effects below. Until the spell ends, you can activate either effect as a Magic action on your later turns.

Sense Thoughts. You sense the presence of thoughts within 30 feet of yourself that belong to creatures that know languages or are telepathic. You don’t read the thoughts, but you know that a thinking creature is present.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.

Read Thoughts. Target one creature you can see within 30 feet of yourself or one creature within 30 feet of yourself that you detected with the Sense Thoughts option. You learn what is most on the target’s mind right now. If the target doesn’t know any languages and isn’t telepathic, you learn nothing.

As a Magic action on your next turn, you can try to probe deeper into the target’s mind. If you probe deeper, the target makes a Wisdom saving throw. On a failed save, you discern the target’s reasoning, emotions, and something that looms large in its mind (such as a worry, love, or hate). On a successful save, the spell ends. Either way, the target knows that you are probing into its mind, and until you shift your attention away from the target’s mind, the target can take an action on its turn to make an Intelligence ( Arcana ) check against your spell save DC, ending the spell on a success.",https://www.dndbeyond.com/spells/2619099-detect-thoughts,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Earthbind,Transmutation,1 Action,300 ft.,,V,,1 Minute,,,STR Save,Control (...),,"Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a Strength saving throw, or its flying speed (if any) is reduced to 0 feet for the spell’s duration. An airborne creature affected by this spell safely descends at 60 feet per round until it reaches the ground or the spell ends.",https://www.dndbeyond.com/spells/2377-earthbind,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Enhance Ability,Transmutation,1 Action,,,"V, S, M",,1 Hour,,,,Buff,,"You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target.",https://www.dndbeyond.com/spells/2619165-enhance-ability,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Enlarge/Reduce,Transmutation,1 Action,30 ft.,,"V, S, M",,1 Minute,,,CON Save,Buff,,"For the duration, the spell enlarges or reduces a creature or an object you can see within range (see the chosen effect below). A targeted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful save, the spell has no effect.

Everything that a targeted creature is wearing and carrying changes size with it. Any item it drops returns to normal size at once. A thrown weapon or piece of ammunition returns to normal size immediately after it hits or misses a target.

Enlarge. The target’s size increases by one category—from Medium to Large, for example. The target also has Advantage on Strength checks and Strength saving throws. The target’s attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit.

Reduce. The target’s size decreases by one category—from Medium to Small, for example. The target also has Disadvantage on Strength checks and Strength saving throws. The target’s attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can’t reduce the damage below 1).",https://www.dndbeyond.com/spells/2619170-enlarge-reduce,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Find Traps,Divination,1 Action,120 ft.,,"V, S",,Instantaneous,,,,Detection,,"You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn’t reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.

This spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense.",https://www.dndbeyond.com/spells/2618883-find-traps,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Invisibility,Illusion,1 Action,,,"V, S, M",,1 Hour,,,,Invisible,,"A creature you touch has the Invisible condition until the spell ends. The spell ends early immediately after the target makes an attack roll, deals damage, or casts a spell.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619116-invisibility,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Kinetic Jaunt,Transmutation,1 Bonus Action,,,S,,1 Minute,,,,Buff,,,https://www.dndbeyond.com/spells/1239803-kinetic-jaunt,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Levitate,Transmutation,1 Action,60 ft.,,"V, S, M",,10 Minutes,,,CON Save,Movement,,"One creature or loose object of your choice that you can see within range rises vertically up to 20 feet and remains suspended there for the duration. The spell can levitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaffected.

The target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which allows it to move as if it were climbing. You can change the target’s altitude by up to 20 feet in either direction on your turn. If you are the target, you can move up or down as part of your move. Otherwise, you can take a Magic action to move the target, which must remain within the spell’s range.

When the spell ends, the target floats gently to the ground if it is still aloft.",https://www.dndbeyond.com/spells/2618994-levitate,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Locate Object,Divination,1 Action,,,"V, S, M",,10 Minutes,,,,Detection,,"Describe or name an object that is familiar to you. You sense the direction to the object’s location if that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.

The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.

This spell can’t locate an object if any thickness of lead blocks a direct path between you and the object.",https://www.dndbeyond.com/spells/2619002-locate-object,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Magic Mouth,Illusion,1 Minute,30 ft.,,"V, S, M",,Until Dispelled,,,,Communication,,"You implant a message within an object in range—a message that is uttered when a trigger condition is met. Choose an object that you can see and that isn’t being worn or carried by another creature. Then speak the message, which must be 25 words or fewer, though it can be delivered over as long as 10 minutes. Finally, determine the circumstance that will trigger the spell to deliver your message.

When that trigger occurs, a magical mouth appears on the object and recites the message in your voice and at the same volume you spoke. If the object you chose has a mouth or something that looks like a mouth (for example, the mouth of a statue), the magical mouth appears there, so the words appear to come from the object’s mouth. When you cast this spell, you can have the spell end after it delivers its message, or it can remain and repeat its message whenever the trigger occurs.

The trigger can be as general or as detailed as you like, though it must be based on visual or audible conditions that occur within 30 feet of the object. For example, you could instruct the mouth to speak when any creature moves within 30 feet of the object or when a silver bell rings within 30 feet of it.",https://www.dndbeyond.com/spells/2619023-magic-mouth,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Magic Weapon,Transmutation,1 Bonus Action,,,"V, S",,1 Hour,,,,Buff,,"You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls. The spell ends early if you cast it again.

Using a Higher-Level Spell Slot. The bonus increases to +2 with a level 3–5 spell slot. The bonus increases to +3 with a level 6+ spell slot.",https://www.dndbeyond.com/spells/2619024-magic-weapon,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Mind Spike,Divination,1 Action,120 ft.,,S,,1 Hour,,,WIS Save,Psychic,,"You drive a spike of psionic energy into the mind of one creature you can see within range. The target makes a Wisdom saving throw, taking 3d8 Psychic damage on a failed save or half as much damage on a successful one. On a failed save, you also always know the target’s location until the spell ends, but only while the two of you are on the same plane of existence. While you have this knowledge, the target can’t become hidden from you, and if it has the Invisible condition, it gains no benefit from that condition against you.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619038-mind-spike,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Mirror Image,Illusion,1 Action,,,"V, S",,1 Minute,,,,Deception (...),,"Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your actions, shifting position so it’s impossible to track which image is real.

Each time a creature hits you with an attack roll during the spell’s duration, roll a d6 for each of your remaining duplicates. If any of the d6s rolls a 3 or higher, one of the duplicates is hit instead of you, and the duplicate is destroyed. The duplicates otherwise ignore all other damage and effects. The spell ends when all three duplicates are destroyed.

A creature is unaffected by this spell if it has the Blinded condition, Blindsight , or Truesight .",https://www.dndbeyond.com/spells/2619060-mirror-image,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Misty Step,Conjuration,1 Bonus Action,,,V,,Instantaneous,,,,Teleportation,,"Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space you can see.",https://www.dndbeyond.com/spells/2619133-misty-step,Teleportation & Spatial Bending,Primary,Hard Ban,Hard Ban,Hard Ban,Hard Ban
2nd,Moonbeam,Evocation,1 Action,120 ft.,(5 ft. *),"V, S, M",,1 Minute,,,CON Save,Radiant,,"A silvery beam of pale light shines down in a 5-foot-radius, 40-foot-high Cylinder centered on a point within range. Until the spell ends, Dim Light fills the Cylinder, and you can take a Magic action on later turns to move the Cylinder up to 60 feet.

When the Cylinder appears, each creature in it makes a Constitution saving throw. On a failed save, a creature takes 2d10 Radiant damage, and if the creature is shape-shifted (as a result of the Polymorph spell, for example), it reverts to its true form and can’t shape-shift until it leaves the Cylinder. On a successful save, a creature takes half as much damage only. A creature also makes this save when the spell’s area moves into its space and when it enters the spell’s area or ends its turn there. A creature makes this save only once per turn.

Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619134-moonbeam,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Nathair's Mischief,Illusion,1 Action,60 ft.,(20 ft. ),"S, M",,1 Minute,,,,Charmed (...),,,https://www.dndbeyond.com/spells/1183865-nathairs-mischief,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
