Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Expeditious Retreat,Transmutation,1 Bonus Action,,,"V, S",,10 Minutes,,,,Movement,,"You take the Dash action, and until the spell ends, you can take that action again as a Bonus Action.",https://www.dndbeyond.com/spells/2619189-expeditious-retreat,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Feather Fall,Transmutation,1 Reaction *,60 ft.,,"V, M",,1 Minute,,,,Exploration (...),,"Choose up to five falling creatures within range. A falling creature’s rate of descent slows to 60 feet per round until the spell ends. If a creature lands before the spell ends, the creature takes no damage from the fall, and the spell ends for that creature.",https://www.dndbeyond.com/spells/2618874-feather-fall,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Fog Cloud,Conjuration,1 Action,120 ft.,(20 ft. ),"V, S",,1 Hour,,,,Control (...),,"You create a 20-foot-radius Sphere of fog centered on a point within range. The Sphere is Heavily Obscured . It lasts for the duration or until a strong wind (such as one created by Gust of Wind ) disperses it.

Using a Higher-Level Spell Slot. The fog’s radius increases by 20 feet for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618910-fog-cloud,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
1st,Goodberry,Conjuration,1 Action,,,"V, S, M",,24 Hours,,,,Healing,,"Ten berries appear in your hand and are infused with magic for the duration. A creature can take a Bonus Action to eat one berry. Eating a berry restores 1 Hit Point, and the berry provides enough nourishment to sustain a creature for one day.

Uneaten berries disappear when the spell ends.",https://www.dndbeyond.com/spells/2618952-goodberry,Resource Creation & Sustenance,Hard Ban,Hard Ban,Primary,Hard Ban,Hard Ban
1st,Grease,Conjuration,1 Action,60 ft.,(10 ft. ),"V, S, M",,1 Minute,,,DEX Save,Prone,,"Nonflammable grease covers the ground in a 10-foot square centered on a point within range and turns it into Difficult Terrain for the duration.

When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or have the Prone condition. A creature that enters the area or ends its turn there must also succeed on that save or fall Prone.",https://www.dndbeyond.com/spells/2618957-grease,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
1st,Hail of Thorns,Conjuration,1 Bonus Action *,,,V,,Instantaneous,,,DEX Save,Piercing,,"As you hit the creature, this spell creates a rain of thorns that sprouts from your Ranged weapon or ammunition. The target of the attack and each creature within 5 feet of it make a Dexterity saving throw, taking 1d10 Piercing damage on a failed save or half as much damage on a successful one.

Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618975-hail-of-thorns,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
1st,Identify,Divination,1 Minute,,,"V, S, M",,Instantaneous,,,,Detection,,"You touch an object throughout the spell’s casting. If the object is a magic item or some other magical object, you learn its properties and how to use them, whether it requires Attunement , and how many charges it has, if any. You learn whether any ongoing spells are affecting the item and what they are. If the item was created by a spell, you learn that spell’s name.

If you instead touch a creature throughout the casting, you learn which ongoing spells, if any, are currently affecting it.",https://www.dndbeyond.com/spells/2619180-identify,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Jump,Transmutation,1 Bonus Action,,,"V, S, M",,1 Minute,,,,Movement,,"You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618991-jump,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Longstrider,Transmutation,1 Action,,,"V, S, M",,1 Hour,,,,Buff (...),,"You touch a creature. The target’s Speed increases by 10 feet until the spell ends.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619004-longstrider,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Purify Food and Drink,Transmutation,1 Action,10 ft.,(5 ft. ),"V, S",,Instantaneous,,,,Utility,,You remove poison and rot from nonmagical food and drink in a 5-foot-radius Sphere centered on a point within range.,https://www.dndbeyond.com/spells/2618917-purify-food-and-drink,Resource Creation & Sustenance,Hard Ban,Hard Ban,Primary,Hard Ban,Hard Ban
1st,Speak with Animals,Divination,1 Action,,,"V, S",,10 Minutes,,,,Communication (...),,"For the duration, you can comprehend and verbally communicate with Beasts, and you can use any of the Influence action’s skill options with them.

Most Beasts have little to say about topics that don’t pertain to survival or companionship, but at minimum, a Beast can give you information about nearby locations and monsters, including whatever it has perceived within the past day.",https://www.dndbeyond.com/spells/2619059-speak-with-animals,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
1st,Zephyr Strike,Transmutation,1 Bonus Action,,,V,,1 Minute,,,,Force,,"You move like the wind. Until the spell ends, your movement doesn’t provoke opportunity attacks.

Once before the spell ends, you can give yourself advantage on one weapon attack roll on your turn. That attack deals an extra 1d8 force damage on a hit. Whether you hit or miss, your walking speed increases by 30 feet until the end of that turn.",https://www.dndbeyond.com/spells/14622-zephyr-strike,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Alter Self,Transmutation,1 Action,,,"V, S",,1 Hour,,,,Shapechanging,,"You alter your physical form. Choose one of the following options. Its effects last for the duration, during which you can take a Magic action to replace the option you chose with a different one.

Aquatic Adaptation. You sprout gills and grow webs between your fingers. You can breathe underwater and gain a Swim Speed equal to your Speed.

Change Appearance. You alter your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and other distinguishing characteristics. You can make yourself appear as a member of another species, though none of your statistics change. You can’t appear as a creature of a different size, and your basic shape stays the same; if you’re bipedal, you can’t use this spell to become quadrupedal, for instance. For the duration, you can take a Magic action to change your appearance in this way again.

Natural Weapons. You grow claws (Slashing), fangs (Piercing), horns (Piercing), or hooves (Bludgeoning). When you use your Unarmed Strike to deal damage with that new growth, it deals 1d6 damage of the type in parentheses instead of dealing the normal damage for your Unarmed Strike, and you use your spellcasting ability modifier for the attack and damage rolls rather than using Strength.",https://www.dndbeyond.com/spells/2618846-alter-self,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Animal Messenger,Enchantment,1 Action,30 ft.,,"V, S, M",,24 Hours,,,CHA Save,Communication (...),,"A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw, or it attempts to deliver a message for you (if the target’s Challenge Rating isn’t 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as “a person dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Beast can fly.

When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn’t reach its destination before the spell ends, the message is lost, and the Beast returns to where you cast the spell.

Using a Higher-Level Spell Slot. The spell’s duration increases by 48 hours for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618850-animal-messenger,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Barkskin,Transmutation,1 Bonus Action,,,"V, S, M",,1 Hour,,,,Buff (...),,"You touch a willing creature. Until the spell ends, the target’s skin assumes a bark-like appearance, and the target has an Armor Class of 17 if its AC is lower than that.",https://www.dndbeyond.com/spells/2618907-barkskin,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
2nd,Beast Sense,Divination,1 Action,,,S,,1 Hour,,,,Detection,,"You touch a willing Beast. For the duration, you can perceive through the Beast’s senses as well as your own. When perceiving through the Beast’s senses, you benefit from any special senses it has.",https://www.dndbeyond.com/spells/2618914-beast-sense,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Cordon of Arrows,Transmutation,1 Action,,,"V, S, M",,8 Hours,,,DEX Save,Piercing,,"You touch up to four nonmagical Arrows or Bolts and plant them in the ground in your space. Until the spell ends, the ammunition can’t be physically uprooted, and whenever a creature other than you enters a space within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 2d4 Piercing damage. The piece of ammunition is then destroyed. The spell ends when none of the ammunition remains planted in the ground.

When you cast this spell, you can designate any creatures you choose, and the spell ignores them.

Using a Higher-Level Spell Slot. The amount of ammunition that can be affected increases by two for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619055-cordon-of-arrows,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Darkvision,Transmutation,1 Action,,,"V, S, M",,8 Hours,,,,Buff,,"For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",https://www.dndbeyond.com/spells/2619082-darkvision,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Detect Thoughts,Divination,1 Action,,,"V, S, M",,1 Minute,,,WIS Save,Detection (...),,"You activate one of the effects below. Until the spell ends, you can activate either effect as a Magic action on your later turns.

Sense Thoughts. You sense the presence of thoughts within 30 feet of yourself that belong to creatures that know languages or are telepathic. You don’t read the thoughts, but you know that a thinking creature is present.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.

Read Thoughts. Target one creature you can see within 30 feet of yourself or one creature within 30 feet of yourself that you detected with the Sense Thoughts option. You learn what is most on the target’s mind right now. If the target doesn’t know any languages and isn’t telepathic, you learn nothing.

As a Magic action on your next turn, you can try to probe deeper into the target’s mind. If you probe deeper, the target makes a Wisdom saving throw. On a failed save, you discern the target’s reasoning, emotions, and something that looms large in its mind (such as a worry, love, or hate). On a successful save, the spell ends. Either way, the target knows that you are probing into its mind, and until you shift your attention away from the target’s mind, the target can take an action on its turn to make an Intelligence ( Arcana ) check against your spell save DC, ending the spell on a success.",https://www.dndbeyond.com/spells/2619099-detect-thoughts,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Earthbind,Transmutation,1 Action,300 ft.,,V,,1 Minute,,,STR Save,Control (...),,"Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a Strength saving throw, or its flying speed (if any) is reduced to 0 feet for the spell’s duration. An airborne creature affected by this spell safely descends at 60 feet per round until it reaches the ground or the spell ends.",https://www.dndbeyond.com/spells/2377-earthbind,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Enhance Ability,Transmutation,1 Action,,,"V, S, M",,1 Hour,,,,Buff,,"You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target.",https://www.dndbeyond.com/spells/2619165-enhance-ability,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Enlarge/Reduce,Transmutation,1 Action,30 ft.,,"V, S, M",,1 Minute,,,CON Save,Buff,,"For the duration, the spell enlarges or reduces a creature or an object you can see within range (see the chosen effect below). A targeted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful save, the spell has no effect.

Everything that a targeted creature is wearing and carrying changes size with it. Any item it drops returns to normal size at once. A thrown weapon or piece of ammunition returns to normal size immediately after it hits or misses a target.

Enlarge. The target’s size increases by one category—from Medium to Large, for example. The target also has Advantage on Strength checks and Strength saving throws. The target’s attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit.

Reduce. The target’s size decreases by one category—from Medium to Small, for example. The target also has Disadvantage on Strength checks and Strength saving throws. The target’s attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can’t reduce the damage below 1).",https://www.dndbeyond.com/spells/2619170-enlarge-reduce,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Find Traps,Divination,1 Action,120 ft.,,"V, S",,Instantaneous,,,,Detection,,"You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn’t reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.

This spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense.",https://www.dndbeyond.com/spells/2618883-find-traps,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Kinetic Jaunt,Transmutation,1 Bonus Action,,,S,,1 Minute,,,,Buff,,,https://www.dndbeyond.com/spells/1239803-kinetic-jaunt,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Levitate,Transmutation,1 Action,60 ft.,,"V, S, M",,10 Minutes,,,CON Save,Movement,,"One creature or loose object of your choice that you can see within range rises vertically up to 20 feet and remains suspended there for the duration. The spell can levitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaffected.

The target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which allows it to move as if it were climbing. You can change the target’s altitude by up to 20 feet in either direction on your turn. If you are the target, you can move up or down as part of your move. Otherwise, you can take a Magic action to move the target, which must remain within the spell’s range.

When the spell ends, the target floats gently to the ground if it is still aloft.",https://www.dndbeyond.com/spells/2618994-levitate,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Locate Animals or Plants,Divination,1 Action,,,"V, S, M",,Instantaneous,,,,Detection,,"Describe or name a specific kind of Beast, Plant creature, or nonmagical plant. You learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.",https://www.dndbeyond.com/spells/2619000-locate-animals-or-plants,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
2nd,Locate Object,Divination,1 Action,,,"V, S, M",,10 Minutes,,,,Detection,,"Describe or name an object that is familiar to you. You sense the direction to the object’s location if that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.

The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.

This spell can’t locate an object if any thickness of lead blocks a direct path between you and the object.",https://www.dndbeyond.com/spells/2619002-locate-object,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Magic Weapon,Transmutation,1 Bonus Action,,,"V, S",,1 Hour,,,,Buff,,"You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls. The spell ends early if you cast it again.

Using a Higher-Level Spell Slot. The bonus increases to +2 with a level 3–5 spell slot. The bonus increases to +3 with a level 6+ spell slot.",https://www.dndbeyond.com/spells/2619024-magic-weapon,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Maximilian's Earthen Grasp,Transmutation,1 Action,30 ft.,(5 ft. *),"V, S, M",,1 Minute,,,STR Save,Bludgeoning (...),,"You choose a 5-foot-square unoccupied space on the ground that you can see within range. A Medium hand made from compacted soil rises there and reaches for one creature you can see within 5 feet of it. The target must make a Strength saving throw. On a failed save, the target takes 2d6 bludgeoning damage and is restrained for the spell’s duration.

As an action, you can cause the hand to crush the restrained target, who must make a Strength saving throw. It takes 2d6 bludgeoning damage on a failed save, or half as much damage on a successful one.

To break out, the restrained target can use its action to make a Strength check against your spell save DC. On a success, the target escapes and is no longer restrained by the hand.

As an action, you can cause the hand to reach for a different creature or to move to a different unoccupied space within range. The hand releases a restrained target if you do either.",https://www.dndbeyond.com/spells/2392-maximilians-earthen-grasp,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Moonbeam,Evocation,1 Action,120 ft.,(5 ft. *),"V, S, M",,1 Minute,,,CON Save,Radiant,,"A silvery beam of pale light shines down in a 5-foot-radius, 40-foot-high Cylinder centered on a point within range. Until the spell ends, Dim Light fills the Cylinder, and you can take a Magic action on later turns to move the Cylinder up to 60 feet.

When the Cylinder appears, each creature in it makes a Constitution saving throw. On a failed save, a creature takes 2d10 Radiant damage, and if the creature is shape-shifted (as a result of the Polymorph spell, for example), it reverts to its true form and can’t shape-shift until it leaves the Cylinder. On a successful save, a creature takes half as much damage only. A creature also makes this save when the spell’s area moves into its space and when it enters the spell’s area or ends its turn there. A creature makes this save only once per turn.

Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619134-moonbeam,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Skywrite,Transmutation,1 Action,,,"V, S",,1 Hour,,,,Communication (...),,You cause up to ten words to form in a part of the sky you can see. The words appear to be made of cloud and remain in place for the spell’s duration. The words dissipate when the spell ends. A strong wind can disperse the clouds and end the spell early.,https://www.dndbeyond.com/spells/2398-skywrite,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
2nd,Spider Climb,Transmutation,1 Action,,,"V, S, M",,1 Hour,,,,Buff (...),,"Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and along ceilings, while leaving its hands free. The target also gains a Climb Speed equal to its Speed.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619071-spider-climb,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Spike Growth,Transmutation,1 Action,150 ft.,(20 ft. ),"V, S, M",,10 Minutes,,,,Control (...),,"The ground in a 20-foot-radius Sphere centered on a point within range sprouts hard spikes and thorns. The area becomes Difficult Terrain for the duration. When a creature moves into or within the area, it takes 2d4 Piercing damage for every 5 feet it travels.

The transformation of the ground is camouflaged to look natural. Any creature that can’t see the area when the spell is cast must take a Search action and succeed on a Wisdom ( Perception or Survival ) check against your spell save DC to recognize the terrain as hazardous before entering it.",https://www.dndbeyond.com/spells/2619075-spike-growth,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
2nd,Summon Beast,Conjuration,1 Action,90 ft.,,"V, S, M",,1 Hour,,,,Summoning,,"You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range and uses the Bestial Spirit stat block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that is native to the chosen environment, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

Small Beast, Neutral

AC 11 + the spell’s level

HP 20 (Air only) or 30 (Land and Water only) + 5 for each spell level above 2

Speed 30 ft.; Climb 30 ft. (Land only); Fly 60 ft. (Air only); Swim 30 ft. (Water only)

Senses Darkvision 60 ft.; Passive Perception 12

Languages Understands the languages you know

CR None (XP 0; PB equals your Proficiency Bonus)

Traits

Flyby (Air Only). The spirit doesn’t provoke Opportunity Attacks when it flies out of an enemy’s reach.

Pack Tactics (Land and Water Only). The spirit has Advantage on an attack roll against a creature if at least one of the spirit’s allies is within 5 feet of the creature and the ally doesn’t have the Incapacitated condition.

Water Breathing (Water Only). The spirit can breathe only underwater.

Actions

Multiattack. The spirit makes a number of Rend attacks equal to half this spell’s level (round down).

Rend. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 4 + the spell’s level Piercing damage.",https://www.dndbeyond.com/spells/2619106-summon-beast,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Warding Wind,Evocation,1 Action,,(10 ft. ),V,,10 Minutes,,,,Deafened,,"A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell’s duration.

The wind has the following effects:

It deafens you and other creatures in its area.

It extinguishes unprotected flames in its area that are torch-sized or smaller.

It hedges out vapor, gas, and fog that can be dispersed by strong wind.

The area is difficult terrain for creatures other than you.

The attack rolls of ranged weapon attacks have disadvantage if the attacks pass in or out of the wind.",https://www.dndbeyond.com/spells/2407-warding-wind,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Warp Sense,Divination,1 Action,,,"V, S, M",,1 Minute,,,,Detection (...),,,https://www.dndbeyond.com/spells/2119579-warp-sense,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
2nd,Web,Conjuration,1 Action,60 ft.,(20 ft. ),"V, S, M",,1 Hour,,,DEX Save,Restrained,,"You conjure a mass of sticky webbing at a point within range. The webs fill a 20-foot Cube there for the duration. The webs are Difficult Terrain , and the area within them is Lightly Obscured .

If the webs aren’t anchored between two solid masses (such as walls or trees) or layered across a floor, wall, or ceiling, the web collapses on itself, and the spell ends at the start of your next turn. Webs layered over a flat surface have a depth of 5 feet.

The first time a creature enters the webs on a turn or starts its turn there, it must succeed on a Dexterity saving throw or have the Restrained condition while in the webs or until it breaks free.

A creature Restrained by the webs can take an action to make a Strength ( Athletics ) check against your spell save DC. If it succeeds, it is no longer Restrained.

The webs are flammable. Any 5-foot Cube of webs exposed to fire burns away in 1 round, dealing 2d4 Fire damage to any creature that starts its turn in the fire.",https://www.dndbeyond.com/spells/2619208-web,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Wither and Bloom,Necromancy,1 Action,60 ft.,(10 ft. *),"V, S, M",,Instantaneous,,,CON Save,Necrotic,,,https://www.dndbeyond.com/spells/1239806-wither-and-bloom,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
