Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Hellish Rebuke,Evocation,1 Reaction *,60 ft.,,"V, S",,Instantaneous,,,DEX Save,Fire,,"The creature that damaged you is momentarily surrounded by green flames. It makes a Dexterity saving throw, taking 2d10 Fire damage on a failed save or half as much damage on a successful one.

Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619149-hellish-rebuke,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Ice Knife,Conjuration,1 Action,60 ft.,(5 ft. *),"S, M",,Instantaneous,,,DEX Save,Piercing (...),,"You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 2d6 Cold damage.

Using a Higher-Level Spell Slot. The Cold damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619171-ice-knife,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Jim's Magic Missile,Evocation,1 Action,120 ft.,,"V, S, M",,Instantaneous,,,Ranged,Force,,"Any apprentice wizard can cast a boring old magic missile . Sure, it always strikes its target. Yawn. Do away with the drudgery of your grandfather’s magic with this improved version of the spell, as used by Jim Darkmagic!

You create three twisting, whistling, hypoallergenic, gluten-free darts of magical force. Each dart targets a creature of your choice that you can see within range. Make a ranged spell attack for each missile. On a hit, a missile deals 2d4 force damage to its target.

If the attack roll scores a critical hit, the target of that missile takes 5d4 force damage instead of you rolling damage twice for a critical hit. If the attack roll for any missile is a 1, all missiles miss their targets and blow up in your face, dealing 1 force damage per missile to you.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the spell creates one more dart, and the royalty component increases by 1 gp, for each slot level above 1st.",https://www.dndbeyond.com/spells/188129-jims-magic-missile,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Magic Missile,Evocation,1 Action,120 ft.,,"V, S",,Instantaneous,,,,Force,,"You create three glowing darts of magical force. Each dart strikes a creature of your choice that you can see within range. A dart deals 1d4 + 1 Force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.

Using a Higher-Level Spell Slot. The spell creates one more dart for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619022-magic-missile,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Ray of Sickness,Necromancy,1 Action,60 ft.,,"V, S",,Instantaneous,,,Ranged,Poison,,"You shoot a greenish ray at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 Poison damage and has the Poisoned condition until the end of your next turn.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618935-ray-of-sickness,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Searing Smite,Evocation,1 Bonus Action *,,,V,,1 Minute,,,CON Save,Fire (...),,"As you hit the target, it takes an extra 1d6 Fire damage from the attack. At the start of each of its turns until the spell ends, the target takes 1d6 Fire damage and then makes a Constitution saving throw. On a failed save, the spell continues. On a successful save, the spell ends.

Using a Higher-Level Spell Slot. All the damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619009-searing-smite,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Shield,Abjuration,1 Reaction *,,,"V, S",,1 Round,,,,Warding,,"An imperceptible barrier of magical force protects you. Until the start of your next turn, you have a +5 bonus to AC, including against the triggering attack, and you take no damage from Magic Missile .",https://www.dndbeyond.com/spells/2619019-shield,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Tasha's Caustic Brew,Evocation,1 Action,,(30 ft. ),"V, S, M",,1 Minute,,,DEX Save,Acid,,"A stream of acid emanates from you in a line 30 feet long and 5 feet wide in a direction you choose. Each creature in the line must succeed on a Dexterity saving throw or be covered in acid for the spell’s duration or until a creature uses its action to scrape or wash the acid off itself or another creature. A creature covered in the acid takes 2d4 acid damage at start of each of its turns.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 2d4 for each slot level above 1st.",https://www.dndbeyond.com/spells/719953-tashas-caustic-brew,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Tenser's Floating Disk,Conjuration,1 Action,30 ft.,,"V, S, M",,1 Hour,,,,Movement (...),,"This spell creates a circular, horizontal plane of force, 3 feet in diameter and 1 inch thick, that floats 3 feet above the ground in an unoccupied space of your choice that you can see within range. The disk remains for the duration and can hold up to 500 pounds. If more weight is placed on it, the spell ends, and everything on the disk falls to the ground.

The disk is immobile while you are within 20 feet of it. If you move more than 20 feet away from it, the disk follows you so that it remains within 20 feet of you. It can move across uneven terrain, up or down stairs, slopes and the like, but it can’t cross an elevation change of 10 feet or more. For example, the disk can’t move across a 10-foot-deep pit, nor could it leave such a pit if it was created at the bottom.

If you move more than 100 feet from the disk (typically because it can’t move around an obstacle to follow you), the spell ends.",https://www.dndbeyond.com/spells/2619169-tensers-floating-disk,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Thunderous Smite,Evocation,1 Bonus Action *,,,V,,Instantaneous,,,STR Save,Thunder,,"Your strike rings with thunder that is audible within 300 feet of you, and the target takes an extra 2d6 Thunder damage from the attack. Additionally, if the target is a creature, it must succeed on a Strength saving throw or be pushed 10 feet away from you and have the Prone condition.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619182-thunderous-smite,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Thunderwave,Evocation,1 Action,,(15 ft. ),"V, S",,Instantaneous,,,CON Save,Thunder,,"You unleash a wave of thunderous energy. Each creature in a 15-foot Cube originating from you makes a Constitution saving throw. On a failed save, a creature takes 2d8 Thunder damage and is pushed 10 feet away from you. On a successful save, a creature takes half as much damage only.

In addition, unsecured objects that are entirely within the Cube are pushed 10 feet away from you, and a thunderous boom is audible within 300 feet.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619184-thunderwave,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Unseen Servant,Conjuration,1 Action,60 ft.,,"V, S, M",,1 Hour,,,,Control,,"This spell creates an Invisible , mindless, shapeless, Medium force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 10, 1 Hit Point, and a Strength of 2, and it can’t attack. If it drops to 0 Hit Points, the spell ends.

Once on each of your turns as a Bonus Action, you can mentally command the servant to move up to 15 feet and interact with an object. The servant can perform simple tasks that a human could do, such as fetching things, cleaning, mending, folding clothes, lighting fires, serving food, and pouring drinks. Once you give the command, the servant performs the task to the best of its ability until it completes the task, then waits for your next command.

If you command the servant to perform a task that would move it more than 60 feet away from you, the spell ends.",https://www.dndbeyond.com/spells/2619209-unseen-servant,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Witch Bolt,Evocation,1 Action,60 ft.,,"V, S, M",,1 Minute,,,Ranged,Lightning (...),,"A beam of crackling energy lances toward a creature within range, forming a sustained arc of lightning between you and the target. Make a ranged spell attack against it. On a hit, the target takes 2d12 Lightning damage.

On each of your subsequent turns, you can take a Bonus Action to deal 1d12 Lightning damage to the target automatically, even if the first attack missed.

The spell ends if the target is ever outside the spell’s range or if it has Total Cover from you.

Using a Higher-Level Spell Slot. The initial damage increases by 1d12 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619215-witch-bolt,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Aganazzar's Scorcher,Evocation,1 Action,30 ft.,(30 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Fire,,"A line of roaring flame 30 feet long and 5 feet wide emanates from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 3d8 fire damage on a failed save, or half as much damage on a successful one.

At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",https://www.dndbeyond.com/spells/2369-aganazzars-scorcher,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Arcane Lock,Abjuration,1 Action,,,"V, S, M",,Until Dispelled,,,,Utility (...),,"You touch a closed door, window, gate, container, or hatch and magically lock it for the duration. This lock can’t be unlocked by any nonmagical means. You and any creatures you designate when you cast the spell can open and close the object despite the lock. You can also set a password that, when spoken within 5 feet of the object, unlocks it for 1 minute.",https://www.dndbeyond.com/spells/2618868-arcane-lock,Object & Structure Manipulation,Hard Ban,Hard Ban,Hard Ban,Secondary,Hard Ban
2nd,Arcane Vigor,Abjuration,1 Bonus Action,,,"V, S",,Instantaneous,,,,,,"You tap into your life force to heal yourself. Roll one or two of your unexpended Hit Point Dice, and regain a number of Hit Points equal to the roll’s total plus your spellcasting ability modifier. Those dice are then expended.

Using a Higher-Level Spell Slot. The number of unexpended Hit Dice you can roll increases by one for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618831-arcane-vigor,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Cordon of Arrows,Transmutation,1 Action,,,"V, S, M",,8 Hours,,,DEX Save,Piercing,,"You touch up to four nonmagical Arrows or Bolts and plant them in the ground in your space. Until the spell ends, the ammunition can’t be physically uprooted, and whenever a creature other than you enters a space within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 2d4 Piercing damage. The piece of ammunition is then destroyed. The spell ends when none of the ammunition remains planted in the ground.

When you cast this spell, you can designate any creatures you choose, and the spell ignores them.

Using a Higher-Level Spell Slot. The amount of ammunition that can be affected increases by two for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619055-cordon-of-arrows,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Darkness,Evocation,Action,60 ft.,(15 ft. ),"V, M",,10 Minutes,,,,Control,,"For the duration, magical Darkness spreads from a point within range and fills a 15-foot-radius Sphere . Darkvision can’t see through it, and nonmagical light can’t illuminate it.

Alternatively, you cast the spell on an object that isn’t being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the Darkness.

If any of this spell’s area overlaps with an area of Bright Light or Dim Light created by a spell of level 2 or lower, that other spell is dispelled.",https://www.dndbeyond.com/spells/2619080-darkness,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Dragon's Breath,Transmutation,1 Bonus Action,,(15 ft. ),"V, S, M",,1 Minute,,,DEX Save,Acid (...),,"You touch one willing creature, and choose Acid, Cold, Fire, Lightning, or Poison. Until the spell ends, the target can take a Magic action to exhale a 15-foot Cone . Each creature in that area makes a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save or half as much damage on a successful one.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619150-dragons-breath,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Flame Blade,Evocation,1 Bonus Action,,,"V, S, M",,10 Minutes,,,Melee,Fire,,"You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. If you let go of the blade, it disappears, but you can evoke it again as a Bonus Action.

As a Magic action, you can make a melee spell attack with the fiery blade. On a hit, the target takes Fire damage equal to 3d6 plus your spellcasting ability modifier.

The flaming blade sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618899-flame-blade,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Flaming Sphere,Conjuration,1 Action,60 ft.,(5 ft. ),"V, S, M",,1 Minute,,,DEX Save,Fire,,"You create a 5-foot-diameter sphere of fire in an unoccupied space on the ground within range. It lasts for the duration. Any creature that ends its turn within 5 feet of the sphere makes a Dexterity saving throw, taking 2d6 Fire damage on a failed save or half as much damage on a successful one.

As a Bonus Action, you can move the sphere up to 30 feet, rolling it along the ground. If you move the sphere into a creature’s space, that creature makes the save against the sphere, and the sphere stops moving for the turn.

When you move the sphere, you can direct it over barriers up to 5 feet tall and jump it across pits up to 10 feet wide. Flammable objects that aren’t being worn or carried start burning if touched by the sphere, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618919-flaming-sphere,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Gust of Wind,Evocation,1 Action,,,"V, S, M",,1 Minute,,,STR Save,Control,,"A Line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the duration. Each creature in the Line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the Line. A creature that ends its turn in the Line must make the same save.

Any creature in the Line must spend 2 feet of movement for every 1 foot it moves when moving closer to you.

The gust disperses gas or vapor, and it extinguishes candles and similar unprotected flames in the area. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 percent chance to extinguish them.

As a Bonus Action on your later turns, you can change the direction in which the Line blasts from you.",https://www.dndbeyond.com/spells/2619137-gust-of-wind,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Healing Spirit,Conjuration,1 Bonus Action,60 ft.,(5 ft. ),"V, S",,1 Minute,,,,Healing (...),,"You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).

Until the spell ends, whenever you or a creature you can see moves into the spirit’s space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can’t heal constructs or undead. The spirit can heal a number of times equal to 1 + your spellcasting ability modifier (minimum of twice). After healing that number of times, the spirit disappears.

As a bonus action on your turn, you can move the spirit up to 30 feet to a space you can see.

At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d6 for each slot level above 2nd.",https://www.dndbeyond.com/spells/14873-healing-spirit,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Heat Metal,Transmutation,1 Action,60 ft.,,"V, S, M",,1 Minute,,,CON Save,Fire,,"Choose a manufactured metal object, such as a metal weapon or a suit of Heavy or Medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 Fire damage when you cast the spell. Until the spell ends, you can take a Bonus Action on each of your later turns to deal this damage again if the object is within range.

If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn’t drop the object, it has Disadvantage on attack rolls and ability checks until the start of your next turn.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619145-heat-metal,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Knock,Transmutation,1 Action,60 ft.,,V,,Instantaneous,,,,Utility,,"Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access.

A target that is held shut by a mundane lock or that is stuck or barred becomes unlocked, unstuck, or unbarred. If the object has multiple locks, only one of them is unlocked.

If the target is held shut by Arcane Lock , that spell is suppressed for 10 minutes, during which time the target can be opened and closed.

When you cast the spell, a loud knock, audible up to 300 feet away, emanates from the target.",https://www.dndbeyond.com/spells/2618992-knock,Object & Structure Manipulation,Hard Ban,Hard Ban,Hard Ban,Secondary,Hard Ban
2nd,Lesser Restoration,Abjuration,1 Bonus Action,,,"V, S",,Instantaneous,,,,Healing,,"You touch a creature and end one condition on it: Blinded , Deafened , Paralyzed , or Poisoned .",https://www.dndbeyond.com/spells/2619016-lesser-restoration,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Maximilian's Earthen Grasp,Transmutation,1 Action,30 ft.,(5 ft. *),"V, S, M",,1 Minute,,,STR Save,Bludgeoning (...),,"You choose a 5-foot-square unoccupied space on the ground that you can see within range. A Medium hand made from compacted soil rises there and reaches for one creature you can see within 5 feet of it. The target must make a Strength saving throw. On a failed save, the target takes 2d6 bludgeoning damage and is restrained for the spell’s duration.

As an action, you can cause the hand to crush the restrained target, who must make a Strength saving throw. It takes 2d6 bludgeoning damage on a failed save, or half as much damage on a successful one.

To break out, the restrained target can use its action to make a Strength check against your spell save DC. On a success, the target escapes and is no longer restrained by the hand.

As an action, you can cause the hand to reach for a different creature or to move to a different unoccupied space within range. The hand releases a restrained target if you do either.",https://www.dndbeyond.com/spells/2392-maximilians-earthen-grasp,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Melf's Acid Arrow,Evocation,1 Action,90 ft.,,"V, S, M",,Instantaneous,,,Ranged,Acid (...),,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 Acid damage and 2d4 Acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage only.

Using a Higher-Level Spell Slot. The damage (both initial and later) increases by 1d4 for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619032-melfs-acid-arrow,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Protection from Poison,Abjuration,1 Action,,,"V, S",,1 Hour,,,,Buff (...),,"You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage.",https://www.dndbeyond.com/spells/2618915-protection-from-poison,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
2nd,Rime's Binding Ice,Evocation,1 Action,,(30 ft. ),"S, M",,Instantaneous,,,CON Save,Cold,,,https://www.dndbeyond.com/spells/1183867-rimes-binding-ice,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Scorching Ray,Evocation,1 Action,120 ft.,,"V, S",,Instantaneous,,,Ranged,Fire,,"You hurl three fiery rays. You can hurl them at one target within range or at several. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 Fire damage.

Using a Higher-Level Spell Slot. You create one additional ray for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619005-scorching-ray,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
2nd,Shadow Blade,Illusion,1 Bonus Action,,,"V, S",,1 Minute,,,,Psychic,,"You weave together threads of shadow to create a sword of solidified gloom in your hand. This magic sword lasts until the spell ends. It counts as a simple melee weapon with which you are proficient. It deals 2d8 psychic damage on a hit and has the finesse , light , and thrown properties (range 20/60). In addition, when you use the sword to attack a target that is in dim light or darkness, you make the attack roll with advantage.

If you drop the weapon or throw it, it dissipates at the end of the turn. Thereafter, while the spell persists, you can use a bonus action to cause the sword to reappear in your hand.

At Higher Levels. When you cast this spell using a 3rd- or 4th-level spell slot, the damage increases to 3d8. When you cast it using a 5th- or 6th-level spell slot, the damage increases to 4d8. When you cast it using a spell slot of 7th level or higher, the damage increases to 5d8.",https://www.dndbeyond.com/spells/14595-shadow-blade,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
2nd,Snilloc's Snowball Swarm,Evocation,1 Action,90 ft.,(5 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Cold,,"A flurry of magic snowballs erupts from a point you choose within range. Each creature in a 5-foot-radius sphere centered on that point must make a Dexterity saving throw. A creature takes 3d6 cold damage on a failed save, or half as much damage on a successful one.

At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",https://www.dndbeyond.com/spells/2399-snillocs-snowball-swarm,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
